Datetime,Water Level (m)
2023-12-19 18:00:00,0.0006428758
2023-12-19 19:00:00,0.005774828
2023-12-19 20:00:00,-0.012029056
2023-12-19 21:00:00,-0.047253445
2023-12-19 22:00:00,-0.10112568
2023-12-19 23:00:00,-0.1628808
2023-12-20 00:00:00,-0.20587061
2023-12-20 01:00:00,-0.20395891
2023-12-20 02:00:00,-0.16382076
2023-12-20 03:00:00,-0.110127725
2023-12-20 04:00:00,-0.05371993
2023-12-20 05:00:00,0.009463676
2023-12-20 06:00:00,0.051260814
2023-12-20 07:00:00,0.06210502
2023-12-20 08:00:00,0.050562546
2023-12-20 09:00:00,0.021287907
2023-12-20 10:00:00,-0.033742256
2023-12-20 11:00:00,-0.10373959
2023-12-20 12:00:00,-0.17183177
2023-12-20 13:00:00,-0.22400923
2023-12-20 14:00:00,-0.2348041
2023-12-20 15:00:00,-0.20319054
2023-12-20 16:00:00,-0.14955254
2023-12-20 17:00:00,-0.09490858
2023-12-20 18:00:00,-0.030593101
2023-12-20 19:00:00,0.018962337
2023-12-20 20:00:00,0.03860009
2023-12-20 21:00:00,0.03593829
2023-12-20 22:00:00,0.013568219
2023-12-20 23:00:00,-0.034067567
2023-12-21 00:00:00,-0.09686029
2023-12-21 01:00:00,-0.14989173
2023-12-21 02:00:00,-0.16354935
2023-12-21 03:00:00,-0.13212432
2023-12-21 04:00:00,-0.08590267
2023-12-21 05:00:00,-0.04154186
2023-12-21 06:00:00,0.004617745
2023-12-21 07:00:00,0.041841794
2023-12-21 08:00:00,0.050920233
2023-12-21 09:00:00,0.042700782
2023-12-21 10:00:00,0.015842976
2023-12-21 11:00:00,-0.034840386
2023-12-21 12:00:00,-0.100383386
2023-12-21 13:00:00,-0.16628766
2023-12-21 14:00:00,-0.22124122
2023-12-21 15:00:00,-0.23528378
2023-12-21 16:00:00,-0.20045507
2023-12-21 17:00:00,-0.14045474
2023-12-21 18:00:00,-0.079364374
2023-12-21 19:00:00,-0.00948271
2023-12-21 20:00:00,0.04808803
2023-12-21 21:00:00,0.07447133
2023-12-21 22:00:00,0.07622951
2023-12-21 23:00:00,0.058546048
2023-12-22 00:00:00,0.015951997
2023-12-22 01:00:00,-0.04703378
2023-12-22 02:00:00,-0.10683083
2023-12-22 03:00:00,-0.13825929
2023-12-22 04:00:00,-0.1263008
2023-12-22 05:00:00,-0.08980261
2023-12-22 06:00:00,-0.04908518
2023-12-22 07:00:00,-0.009049069
2023-12-22 08:00:00,0.030836964
2023-12-22 09:00:00,0.044970017
2023-12-22 10:00:00,0.039240252
2023-12-22 11:00:00,0.016503908
2023-12-22 12:00:00,-0.029184164
2023-12-22 13:00:00,-0.09261863
2023-12-22 14:00:00,-0.15775895
2023-12-22 15:00:00,-0.21028918
2023-12-22 16:00:00,-0.21923585
2023-12-22 17:00:00,-0.18015136
2023-12-22 18:00:00,-0.11872348
2023-12-22 19:00:00,-0.055074282
2023-12-22 20:00:00,0.020860063
2023-12-22 21:00:00,0.084830545
2023-12-22 22:00:00,0.11669554
2023-12-22 23:00:00,0.12254352
2023-12-23 00:00:00,0.10784097
2023-12-23 01:00:00,0.065939955
2023-12-23 02:00:00,0.0017672793
2023-12-23 03:00:00,-0.067773744
2023-12-23 04:00:00,-0.11439531
2023-12-23 05:00:00,-0.11863982
2023-12-23 06:00:00,-0.087232344
2023-12-23 07:00:00,-0.046824552
2023-12-23 08:00:00,-0.010856677
2023-12-23 09:00:00,0.024480179
2023-12-23 10:00:00,0.039284587
2023-12-23 11:00:00,0.032923136
2023-12-23 12:00:00,0.010563008
2023-12-23 13:00:00,-0.033136927
2023-12-23 14:00:00,-0.09535361
2023-12-23 15:00:00,-0.16023406
2023-12-23 16:00:00,-0.21251144
2023-12-23 17:00:00,-0.21830958
2023-12-23 18:00:00,-0.17169155
2023-12-23 19:00:00,-0.10375422
2023-12-23 20:00:00,-0.034342296
2023-12-23 21:00:00,0.04728369
2023-12-23 22:00:00,0.1136265
2023-12-23 23:00:00,0.14562593
2023-12-24 00:00:00,0.1511253
2023-12-24 01:00:00,0.1351858
2023-12-24 02:00:00,0.090518676
2023-12-24 03:00:00,0.023553057
2023-12-24 04:00:00,-0.049893357
2023-12-24 05:00:00,-0.10627667
2023-12-24 06:00:00,-0.12078446
2023-12-24 07:00:00,-0.09463703
2023-12-24 08:00:00,-0.05228401
2023-12-24 09:00:00,-0.014789632
2023-12-24 10:00:00,0.017470876
2023-12-24 11:00:00,0.0315918
2023-12-24 12:00:00,0.023927122
2023-12-24 13:00:00,-0.0007217043
2023-12-24 14:00:00,-0.045507554
2023-12-24 15:00:00,-0.10773966
2023-12-24 16:00:00,-0.17163515
2023-12-24 17:00:00,-0.21939753
2023-12-24 18:00:00,-0.21388301
2023-12-24 19:00:00,-0.15745154
2023-12-24 20:00:00,-0.08471458
2023-12-24 21:00:00,-0.008789959
2023-12-24 22:00:00,0.07937667
2023-12-24 23:00:00,0.14388818
2023-12-25 00:00:00,0.17300826
2023-12-25 01:00:00,0.17560624
2023-12-25 02:00:00,0.15536359
2023-12-25 03:00:00,0.10419501
2023-12-25 04:00:00,0.033173874
2023-12-25 05:00:00,-0.0432379
2023-12-25 06:00:00,-0.1008137
2023-12-25 07:00:00,-0.1122987
2023-12-25 08:00:00,-0.08142659
2023-12-25 09:00:00,-0.035547618
2023-12-25 10:00:00,0.00044756604
2023-12-25 11:00:00,0.029454187
2023-12-25 12:00:00,0.037866913
2023-12-25 13:00:00,0.026041888
2023-12-25 14:00:00,-0.0032197798
2023-12-25 15:00:00,-0.052606683
2023-12-25 16:00:00,-0.11686949
2023-12-25 17:00:00,-0.17929985
2023-12-25 18:00:00,-0.21857578
